9 9 0  41
        1         1 1
        1         2 -0.5
        1         4 -0.5
        1         5 0
        2         1 -0.5
        2         2 2
        2         3 -0.5
        2         5 -1
        2         6 0
        3         2 -0.5
        3         3 1
        3         6 -0.5
        4         1 -0.5
        4         4 2
        4         5 -1
        4         7 -0.5
        4         8 0
        5         1 0
        5         2 -1
        5         4 -1
        5         5 4
        5         6 -1
        5         8 -1
        5         9 0
        6         2 0
        6         3 -0.5
        6         5 -1
        6         6 2
        6         9 -0.5
        7         4 -0.5
        7         7 1
        7         8 -0.5
        8         4 0
        8         5 -1
        8         7 -0.5
        8         8 2
        8         9 -0.5
        9         5 0
        9         6 -0.5
        9         8 -0.5
        9         9 1

