25 25 0  217
        1         1 0.99999999999999966693
        1         2 -0.66666666666666640761
        1         3 -0.66666666666666662966
        1         4 0.16666666666666665741
        1         7 5.2041704279304212832e-17
        1         9 0.16666666666666657415
        2         1 -0.66666666666666640761
        2         2 2.6666666666666669627
        2         3 3.4008887462067749164e-16
        2         4 -2.7755575615628913511e-17
        2         7 -1.3333333333333339255
        2         9 -0.66666666666666662966
        3         1 -0.66666666666666662966
        3         2 3.4008887462067749164e-16
        3         3 2.6666666666666656305
        3         4 -0.66666666666666651864
        3         7 -1.3333333333333332593
        3         9 -2.168404344971008868e-16
        4         1 0.16666666666666665741
        4         2 -2.7755575615628913511e-17
        4         3 -0.66666666666666651864
        4         4 1.9999999999999995559
        4         5 -0.66666666666666662966
        4         6 -1.3333333333333330373
        4         7 4.1633363423443370266e-17
        4         9 0
        4        10 -1.3877787807814456755e-17
        4        11 5.2041704279304212832e-17
        4        12 0.16666666666666665741
        4        14 0.33333333333333325932
        5         4 -0.66666666666666662966
        5         5 2.6666666666666656305
        5         6 3.4008887462067749164e-16
        5        11 -1.3333333333333332593
        5        12 -0.66666666666666651864
        5        14 -2.168404344971008868e-16
        6         4 -1.3333333333333330373
        6         5 3.4008887462067749164e-16
        6         6 5.3333333333333321491
        6         7 -1.3333333333333332593
        6         9 -2.2204460492503130808e-16
        6        10 2.7755575615628913511e-16
        6        11 -1.3333333333333339255
        6        12 -2.7755575615628913511e-17
        6        14 -1.3333333333333330373
        7         1 3.9898639947466563171e-17
        7         2 -1.3333333333333339255
        7         3 -1.3333333333333332593
        7         4 4.1633363423443370266e-17
        7         6 -1.3333333333333330373
        7         7 5.3333333333333339255
        7         9 4.3888503942213219489e-16
        7        10 -1.3333333333333339255
        7        14 6.9388939039072283776e-17
        8         8 2.6666666666666669627
        8         9 -0.66666666666666640761
        8        10 3.4008887462067749164e-16
        8        13 -1.3333333333333339255
        8        14 -2.7755575615628913511e-17
        8        15 -0.66666666666666662966
        9         1 0.1666666666666666019
        9         2 -0.66666666666666662966
        9         3 -2.3418766925686895775e-16
        9         4 0
        9         6 -2.3592239273284576484e-16
        9         7 4.7011006198971472259e-16
        9         8 -0.66666666666666640761
        9         9 1.9999999999999995559
        9        10 -1.3333333333333332593
        9        13 5.2041704279304212832e-17
        9        14 0.33333333333333325932
        9        15 0.16666666666666657415
       10         4 -1.3877787807814456755e-17
       10         6 2.7755575615628913511e-16
       10         7 -1.3333333333333339255
       10         8 3.4008887462067749164e-16
       10         9 -1.3333333333333332593
       10        10 5.3333333333333321491
       10        13 -1.3333333333333332593
       10        14 -1.3333333333333330373
       10        15 -2.168404344971008868e-16
       11         4 3.9898639947466563171e-17
       11         5 -1.3333333333333332593
       11         6 -1.3333333333333339255
       11        11 5.3333333333333339255
       11        12 4.1633363423443370266e-17
       11        14 4.3888503942213219489e-16
       11        17 -1.3333333333333339255
       11        19 -1.3333333333333330373
       11        20 6.9388939039072283776e-17
       12         4 0.16666666666666665741
       12         5 -0.66666666666666651864
       12         6 -2.7755575615628913511e-17
       12        11 4.1633363423443370266e-17
       12        12 0.99999999999999977796
       12        14 0
       12        17 -1.3877787807814456755e-17
       12        19 -0.66666666666666651864
       12        20 0.16666666666666665741
       13         8 -1.3333333333333339255
       13         9 3.9898639947466563171e-17
       13        10 -1.3333333333333332593
       13        13 5.3333333333333339255
       13        14 4.1633363423443370266e-17
       13        15 4.3888503942213219489e-16
       13        16 -1.3333333333333330373
       13        18 -1.3333333333333339255
       13        22 6.9388939039072283776e-17
       14         4 0.33333333333333325932
       14         5 -2.3418766925686895775e-16
       14         6 -1.3333333333333330373
       14         7 5.5511151231257827021e-17
       14         8 -2.7755575615628913511e-17
       14         9 0.33333333333333325932
       14        10 -1.3333333333333330373
       14        11 4.7011006198971472259e-16
       14        12 0
       14        13 4.1633363423443370266e-17
       14        14 3.9999999999999991118
       14        15 0
       14        16 -1.3333333333333330373
       14        17 -1.3333333333333332593
       14        18 -1.3877787807814456755e-17
       14        19 -2.3592239273284576484e-16
       14        20 0.33333333333333325932
       14        21 5.2041704279304212832e-17
       14        22 0.33333333333333325932
       15         8 -0.66666666666666662966
       15         9 0.1666666666666666019
       15        10 -2.3418766925686895775e-16
       15        13 4.7011006198971472259e-16
       15        14 0
       15        15 1
       15        16 -2.3592239273284576484e-16
       15        18 -0.66666666666666662966
       15        22 0.1666666666666666019
       16        13 -1.3333333333333332593
       16        14 -1.3333333333333330373
       16        15 -2.2204460492503130808e-16
       16        16 5.3333333333333321491
       16        17 3.4008887462067749164e-16
       16        18 2.7755575615628913511e-16
       16        20 -2.7755575615628913511e-17
       16        21 -1.3333333333333339255
       16        22 -1.3333333333333330373
       17        11 -1.3333333333333339255
       17        12 -1.3877787807814456755e-17
       17        14 -1.3333333333333332593
       17        16 3.4008887462067749164e-16
       17        17 5.3333333333333321491
       17        19 2.7755575615628913511e-16
       17        20 -1.3333333333333330373
       17        21 -1.3333333333333332593
       17        22 -2.168404344971008868e-16
       18        13 -1.3333333333333339255
       18        14 -1.3877787807814456755e-17
       18        15 -0.66666666666666662966
       18        16 2.7755575615628913511e-16
       18        18 2.6666666666666665186
       18        22 -0.66666666666666640761
       19        11 -1.3333333333333332593
       19        12 -0.66666666666666651864
       19        14 -2.2204460492503130808e-16
       19        17 2.7755575615628913511e-16
       19        19 2.6666666666666656305
       19        20 -0.66666666666666651864
       20        11 5.5511151231257827021e-17
       20        12 0.16666666666666665741
       20        14 0.33333333333333325932
       20        16 -2.7755575615628913511e-17
       20        17 -1.3333333333333330373
       20        19 -0.66666666666666651864
       20        20 1.9999999999999995559
       20        21 4.1633363423443370266e-17
       20        22 0
       20        23 0.16666666666666665741
       20        24 -1.3877787807814456755e-17
       20        25 -0.66666666666666651864
       21        14 3.9898639947466563171e-17
       21        16 -1.3333333333333339255
       21        17 -1.3333333333333332593
       21        20 4.1633363423443370266e-17
       21        21 5.3333333333333339255
       21        22 4.3888503942213219489e-16
       21        23 6.9388939039072283776e-17
       21        24 -1.3333333333333339255
       21        25 -1.3333333333333330373
       22        13 5.5511151231257827021e-17
       22        14 0.33333333333333325932
       22        15 0.16666666666666657415
       22        16 -1.3333333333333330373
       22        17 -2.3418766925686895775e-16
       22        18 -0.66666666666666651864
       22        20 0
       22        21 4.7011006198971472259e-16
       22        22 1.999999999999999778
       22        23 0.1666666666666666019
       22        24 -0.66666666666666662966
       22        25 -2.3592239273284576484e-16
       23        20 0.16666666666666665741
       23        21 5.5511151231257827021e-17
       23        22 0.16666666666666657415
       23        23 0.99999999999999977796
       23        24 -0.66666666666666651864
       23        25 -0.66666666666666651864
       24        20 -1.3877787807814456755e-17
       24        21 -1.3333333333333339255
       24        22 -0.66666666666666662966
       24        23 -0.66666666666666640761
       24        24 2.6666666666666665186
       24        25 2.7755575615628913511e-16
       25        20 -0.66666666666666651864
       25        21 -1.3333333333333332593
       25        22 -2.2204460492503130808e-16
       25        23 -0.66666666666666651864
       25        24 2.7755575615628913511e-16
       25        25 2.6666666666666656305

